"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
1,0,0,0,1990,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1990,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1990,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1990,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.01,0,0,1990,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.09,0,0,1990,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.28,0,0,1990,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.5,0,0,1990,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.85,0,0,1990,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.97,0,0,1990,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1991,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1991,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1991,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1991,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0,0,0,1991,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.12,0,0,1991,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.29,0.01,0,1991,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.55,0,0,1991,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.88,0,0,1991,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.98,0,0,1991,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1992,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1992,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1992,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1992,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.01,0,0,1992,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.09,0,0,1992,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.28,0,0,1992,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.58,0.01,0,1992,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.86,0,0,1992,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.96,0,0,1992,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1993,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1993,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0,1993,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1993,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.01,0,0,1993,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.04,0,0,1993,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.32,0.01,0,1993,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.59,0,0,1993,1.19202946050493,0.73442546875,0.0588235294117647,1.04349920387372,0.492377494005039,0.0266896551724138,0.0699139512366222,0.642812139944359,3.67999999999999e-05,5281842,121876.266304024,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
