"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
1,0.01,0.01,0,1990,1.22326458159533,0.98437796875,0.0588235294117647,1.06313065832626,0.453677190650151,0.0283095533418787,0.0717397507529577,0.663316752392222,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0.03,0,0.01,1990,1.22326458159533,0.98437796875,0.0588235294117647,1.06313065832626,0.453677190650151,0.0283095533418787,0.0717397507529577,0.663316752392222,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0.03,0.02,0,1990,1.22326458159533,0.98437796875,0.0588235294117647,1.06313065832626,0.453677190650151,0.0283095533418787,0.0717397507529577,0.663316752392222,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0.01,0.01,0.01,1990,1.22326458159533,0.98437796875,0.0588235294117647,1.06313065832626,0.453677190650151,0.0283095533418787,0.0717397507529577,0.663316752392222,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.04,0.02,0.01,1990,1.22326458159533,0.98437796875,0.0588235294117647,1.06313065832626,0.453677190650151,0.0283095533418787,0.0717397507529577,0.663316752392222,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.16,0.01,0,1990,1.22326458159533,0.98437796875,0.0588235294117647,1.06313065832626,0.453677190650151,0.0283095533418787,0.0717397507529577,0.663316752392222,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.31,0.01,0.01,1990,1.22326458159533,0.98437796875,0.0588235294117647,1.06313065832626,0.453677190650151,0.0283095533418787,0.0717397507529577,0.663316752392222,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.57,0.02,0.01,1990,1.22326458159533,0.98437796875,0.0588235294117647,1.06313065832626,0.453677190650151,0.0283095533418787,0.0717397507529577,0.663316752392222,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.86,0.01,0,1990,1.22326458159533,0.98437796875,0.0588235294117647,1.06313065832626,0.453677190650151,0.0283095533418787,0.0717397507529577,0.663316752392222,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.96,0,0,1990,1.22326458159533,0.98437796875,0.0588235294117647,1.06313065832626,0.453677190650151,0.0283095533418787,0.0717397507529577,0.663316752392222,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
