"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
1,0,0,0,1990,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0.01,0,1990,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0.01,0,1990,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0.01,0,0,1990,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.02,0.01,0.01,1990,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.12,0.01,0,1990,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.24,0.03,0,1990,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.41,0.02,0,1990,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.78,0,0,1990,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.93,0,0,1990,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1991,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0.01,1991,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0,0,0.01,1991,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0.01,0,0,1991,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.02,0.01,0,1991,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.08,0,0,1991,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.27,0.02,0,1991,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.47,0.03,0,1991,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.76,0.01,0,1991,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.97,0,0,1991,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1992,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1992,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0.01,0.01,0.01,1992,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0,1992,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.04,0.01,0.01,1992,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.12,0.01,0,1992,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.22,0.02,0,1992,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.45,0.01,0,1992,1.22274345644464,0.92188984375,0.0588235294117647,1.08010122826574,0.478495127427266,0.0275503200347182,0.0717144457840641,0.654389654791898,3.68e-05,5281842,206897.206896552,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
