"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
1,0.02,0.01,0,1990,1.22419326697024,0.98437796875,0.0588235294117647,1.0445648501473,0.449401756371166,0.0272939303631238,0.071794976111621,0.656730263173985,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0.01,0.01,0,1990,1.22419326697024,0.98437796875,0.0588235294117647,1.0445648501473,0.449401756371166,0.0272939303631238,0.071794976111621,0.656730263173985,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0.01,0,0,1990,1.22419326697024,0.98437796875,0.0588235294117647,1.0445648501473,0.449401756371166,0.0272939303631238,0.071794976111621,0.656730263173985,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0.01,0.01,0.01,1990,1.22419326697024,0.98437796875,0.0588235294117647,1.0445648501473,0.449401756371166,0.0272939303631238,0.071794976111621,0.656730263173985,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.02,0,0,1990,1.22419326697024,0.98437796875,0.0588235294117647,1.0445648501473,0.449401756371166,0.0272939303631238,0.071794976111621,0.656730263173985,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.15,0.01,0,1990,1.22419326697024,0.98437796875,0.0588235294117647,1.0445648501473,0.449401756371166,0.0272939303631238,0.071794976111621,0.656730263173985,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
100,0.32,0.01,0,1990,1.22419326697024,0.98437796875,0.0588235294117647,1.0445648501473,0.449401756371166,0.0272939303631238,0.071794976111621,0.656730263173985,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.59,0,0,1990,1.22419326697024,0.98437796875,0.0588235294117647,1.0445648501473,0.449401756371166,0.0272939303631238,0.071794976111621,0.656730263173985,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.83,0.01,0,1990,1.22419326697024,0.98437796875,0.0588235294117647,1.0445648501473,0.449401756371166,0.0272939303631238,0.071794976111621,0.656730263173985,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.95,0,0,1990,1.22419326697024,0.98437796875,0.0588235294117647,1.0445648501473,0.449401756371166,0.0272939303631238,0.071794976111621,0.656730263173985,3.68e-05,5281842,186207.586206897,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
