"spark_size","total_re_emergence_prob_1_year","total_re_emergence_prob_2_year","total_re_emergence_prob_3_year","spark_year","R_naught","sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","t_stop_immigration","spark","spark_time_start","spark_time_end"
100,0.4,0.02,0,1992,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
200,0.61,0.02,0,1992,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
500,0.86,0.01,0,1992,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1000,0.99,0,0,1992,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
1,0,0,0,1993,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
2,0,0,0,1993,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
5,0.01,0.01,0,1993,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
10,0,0,0.01,1993,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
20,0.03,0.01,0,1993,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
50,0.17,0.01,0,1993,1.21089164553336,0.945322890625,0.0588235294117647,1.0398488396925,0.452009107196797,0.0270419286333912,0.0710171633319297,0.649782672853562,3.68e-05,5281842,165517.965517241,0,0,2.02577239877577e-05,0.01721420632104,0,1430,1000,8035,8066
