"rho","gamma","phi","sigma_P","sigma_M","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.15,0.0588235294117647,0.576528314057361,0.60944921875,1.65507626472462,14.8308495927494,0.549865528714343,3.68e-05,5281842,346876.207264301,0,0,0,0.01721420632104,0,-201.395872636123,836978896
0.15,0.0588235294117647,1.83372521283703,0.60944921875,4.0949952065128,2.30528011501867,0.93549714305176,3.68e-05,5281842,346874.049057916,0,0,0,0.01721420632104,0,-300.598114933559,827868967
0.15,0.0588235294117647,1.90996475578558,0.60944921875,4.09479488748068,4.23387264406296,0.914890533484934,3.68e-05,5281842,346874.236292068,0,0,0,0.01721420632104,0,-333.924843181133,76641658
0.15,0.0588235294117647,1.89359444375978,0.60944921875,3.67421422372445,2.36481154866717,0.933774953095601,3.68e-05,5281842,346876.735169899,0,0,0,0.01721420632104,0,-304.774496304533,895433647
0.15,0.0588235294117647,0.548590527000133,0.60944921875,1.73738034966396,15.2305347171006,0.735842598137016,3.68e-05,5281842,346873.96111762,0,0,0,0.01721420632104,0,-203.07503565646,68918059
0.15,0.0588235294117647,1.39184878980955,0.10954421875,0.933893968896511,0.0532246655111024,0.582886414435072,3.68e-05,5281842,46872.7083214687,0,0,0,0.01721420632104,0,-185.251878712829,446804017
0.15,0.0588235294117647,1.43830785583432,0.10954421875,0.934177693657328,0.0529527970720335,0.559788514987612,3.68e-05,5281842,46875.6065543027,0,0,0,0.01721420632104,0,-185.56981740418,29496773
0.15,0.0588235294117647,1.38892440449003,0.10954421875,0.950562573025172,0.0530254673193733,0.582137324584547,3.68e-05,5281842,46875.8099694315,0,0,0,0.01721420632104,0,-185.742031525144,175642375
0.15,0.0588235294117647,1.3916906232029,0.10954421875,0.916853708281521,0.0532347106730784,0.570090356112592,3.68e-05,5281842,46875.9688183972,0,0,0,0.01721420632104,0,-185.027951851865,999637006
0.15,0.0588235294117647,1.4058533554187,0.10954421875,0.964116587640136,0.0533471157342988,0.578374976725841,3.68e-05,5281842,46876.3915886491,0,0,0,0.01721420632104,0,-184.764896883925,83203587
0.15,0.0588235294117647,1.22710556262818,0.35949671875,0.789461105536009,0.0620615469104072,0.812968778200114,3.68e-05,5281842,496875.262612432,0,0,0,0.01721420632104,0,-177.030902874763,702927014
0.15,0.0588235294117647,1.22251420535783,0.35949671875,0.790660750626414,0.0620461127533068,0.817514058451189,3.68e-05,5281842,496873.914997697,0,0,0,0.01721420632104,0,-177.02466985112,344171185
0.15,0.0588235294117647,1.22329420617167,0.35949671875,0.792478490275276,0.0620112809902529,0.812411222695957,3.68e-05,5281842,496876.307044583,0,0,0,0.01721420632104,0,-177.049458045696,1046331500
0.15,0.0588235294117647,1.22037386326711,0.35949671875,0.794277822565997,0.0621861882939654,0.815678663834737,3.68e-05,5281842,496875.509982276,0,0,0,0.01721420632104,0,-177.026158270903,461755442
0.15,0.0588235294117647,1.22512735597827,0.35949671875,0.787709746774118,0.0619476994080405,0.813393197491361,3.68e-05,5281842,496875.883217409,0,0,0,0.01721420632104,0,-177.03652349515,998435172
0.15,0.0588235294117647,1.61785225931651,0.85940171875,5.59059718972103,1.97209618490422,0.935444302518418,3.68e-05,5281842,196875.70660779,0,0,0,0.01721420632104,0,-277.36074225234,453982552
0.15,0.0588235294117647,1.65156731515063,0.85940171875,7.60764576001792,1.28615094748758,0.754149899369888,3.68e-05,5281842,196875.512003346,0,0,0,0.01721420632104,0,-364.858062036935,703757764
0.15,0.0588235294117647,1.06133736462376,0.85940171875,1.82318342664953,0.601420963463723,0.819383708344532,3.67999999999999e-05,5281842,196874.804074437,0,0,0,0.01721420632104,0,-468.818379824453,340765664
0.15,0.0588235294117647,1.79864420296542,0.85940171875,3.58272594311835,2.49309759961325,0.920794892162068,3.68e-05,5281842,196875.199314754,0,0,0,0.01721420632104,0,-287.097751613417,901814337
0.15,0.0588235294117647,0.507109686845742,0.85940171875,1.64482711113483,15.5852625561039,0.578424834187423,3.68e-05,5281842,196876.57731,0,0,0,0.01721420632104,0,-201.282476436742,1032234033
0.15,0.0588235294117647,1.24614324723988,0.23452046875,0.79290618556435,0.0598197931289269,0.789064383613745,3.68e-05,5281842,421873.955462328,0,0,0,0.01721420632104,0,-176.906496883779,984903958
0.15,0.0588235294117647,1.25019899526907,0.23452046875,0.796326268230221,0.0598412539754848,0.793784009743661,3.68e-05,5281842,421876.155473027,0,0,0,0.01721420632104,0,-176.87409962099,382991885
0.15,0.0588235294117647,1.25122605208825,0.23452046875,0.785751788272042,0.0599647183293578,0.792299348147071,3.68e-05,5281842,421874.744834001,0,0,0,0.01721420632104,0,-176.810198270782,752980677
0.15,0.0588235294117647,1.25274278787957,0.23452046875,0.794843240986681,0.0599392058969281,0.792177971066262,3.68e-05,5281842,421874.410433572,0,0,0,0.01721420632104,0,-176.823613200558,1021759313
0.15,0.0588235294117647,1.24405691799938,0.23452046875,0.782733185212701,0.0599297011065351,0.792334586685134,3.68e-05,5281842,421875.858640548,0,0,0,0.01721420632104,0,-176.855492630498,353997015
0.15,0.0588235294117647,1.87666660322635,0.73442546875,2.46919665445618,2.37480396216264,0.888850498092922,3.68e-05,5281842,121876.037081052,0,0,0,0.01721420632104,0,-358.969777264224,860380283
0.15,0.0588235294117647,1.21096502350316,0.73442546875,0.57349597607298,0.0534888611682806,0.695650198242369,3.68e-05,5281842,121875.92953522,0,0,0,0.01721420632104,0,-172.976549202727,186352939
0.15,0.0588235294117647,1.22018521635368,0.73442546875,0.568584353030046,0.0531741185708273,0.699390214358241,3.68e-05,5281842,121874.845755261,0,0,0,0.01721420632104,0,-173.048926158885,556387815
0.15,0.0588235294117647,1.22214076360011,0.73442546875,0.581658333829468,0.0534529446261714,0.696120520008983,3.68e-05,5281842,121876.286374882,0,0,0,0.01721420632104,0,-172.972641922141,124431754
0.15,0.0588235294117647,1.22069288925439,0.73442546875,0.575206072616918,0.0534684227923059,0.690051599410141,3.68e-05,5281842,121876.725308282,0,0,0,0.01721420632104,0,-173.016892554543,610281974
0.15,0.0588235294117647,1.96638381619915,0.98437796875,16.5755359001039,0.332416166608146,0.031952535328796,3.68e-05,5281842,571875.717780828,0,0,0,0.01721420632104,0,-374.290405703615,424368006
0.15,0.0588235294117647,1.27718382736491,0.98437796875,11.9558170351451,0.245093073557798,0.00622045725614814,3.68e-05,5281842,571874.583582545,0,0,0,0.01721420632104,0,-332.567520338985,711324297
0.15,0.0588235294117647,2.29365724782767,0.98437796875,7.15906872112934,0.217054736973755,0.00702694280479811,3.67999999999999e-05,5281842,571874.262309212,0,0,0,0.01721420632104,0,-324.405284009179,351881679
0.15,0.0588235294117647,0.655192332660284,0.98437796875,7.63033500341632,0.201067123385673,0.0751571500987035,3.68e-05,5281842,571874.290410168,0,0,0,0.01721420632104,0,-279.778000486869,626759886
0.15,0.0588235294117647,0.662418480607241,0.98437796875,1.90781547290961,0.074361300630052,0.0265091697310421,3.68e-05,5281842,571874.507595585,0,0,0,0.01721420632104,0,-204.000563075592,596063174
0.15,0.0588235294117647,1.25143603051764,0.48447296875,0.691821938515257,0.0561140389671629,0.760343609792449,3.67999999999999e-05,5281842,271875.266085603,0,0,0,0.01721420632104,0,-175.043905808115,516839693
0.15,0.0588235294117647,1.24131555770634,0.48447296875,0.693881145280055,0.0560127295449798,0.759247026422833,3.68e-05,5281842,271874.583134133,0,0,0,0.01721420632104,0,-175.062828203777,822545586
0.15,0.0588235294117647,1.24568565111932,0.48447296875,0.694682686582252,0.0561420455196552,0.759967794531419,3.68e-05,5281842,271874.766853267,0,0,0,0.01721420632104,0,-175.026615134089,991733684
0.15,0.0588235294117647,1.24321007220292,0.48447296875,0.701990229893128,0.056080854621886,0.762100019865382,3.68e-05,5281842,271875.168431095,0,0,0,0.01721420632104,0,-175.078854658009,410369482
0.15,0.0588235294117647,1.24703812863932,0.48447296875,0.700296894365692,0.0560652564165226,0.760287591438263,3.68e-05,5281842,271874.499494802,0,0,0,0.01721420632104,0,-175.062844961308,361574565
0.15,0.0588235294117647,1.20638418236816,0.79691359375,0.681649121646339,0.0584041135899744,0.7877867486288,3.68e-05,5281842,384376.000363762,0,0,0,0.01721420632104,0,-175.314019832285,599785341
0.15,0.0588235294117647,1.19861468831719,0.79691359375,0.685527533630384,0.0586823192850702,0.794551146109521,3.67999999999999e-05,5281842,384375.658099039,0,0,0,0.01721420632104,0,-175.301143502626,150358891
0.15,0.0588235294117647,1.19967718773772,0.79691359375,0.685063638072132,0.0587296631446696,0.792044641854647,3.67999999999999e-05,5281842,384375.706567675,0,0,0,0.01721420632104,0,-175.292750142483,1013624911
0.15,0.0588235294117647,1.2023552584214,0.79691359375,0.686957292857872,0.0585866898116798,0.789055674172851,3.68e-05,5281842,384376.323499491,0,0,0,0.01721420632104,0,-175.29609822841,850853530
0.15,0.0588235294117647,1.20500254860362,0.79691359375,0.680933514187285,0.0583843577021875,0.787479778988433,3.68e-05,5281842,384374.824268534,0,0,0,0.01721420632104,0,-175.313353341963,1024498981
0.15,0.0588235294117647,1.32933728102435,0.29700859375,0.7321813868399,0.0530518064277347,0.649353592623666,3.68000000000001e-05,5281842,84378.4609170636,0,0,0,0.01721420632104,0,-178.707131657143,920946488
0.15,0.0588235294117647,1.31075336939999,0.29700859375,0.697184450553875,0.0526989414560305,0.642558696685538,3.68e-05,5281842,84376.1133575174,0,0,0,0.01721420632104,0,-179.317989316203,148334277
0.15,0.0588235294117647,1.30972382202854,0.29700859375,0.712005117955457,0.0529015687637394,0.652698493660741,3.68000000000001e-05,5281842,84376.4784642154,0,0,0,0.01721420632104,0,-178.99885254738,897240506
0.15,0.0588235294117647,1.32729867527992,0.29700859375,0.720508797537634,0.0530815418642608,0.646048378643605,3.68000000000001e-05,5281842,84374.4981519091,0,0,0,0.01721420632104,0,-178.633681851286,89820598
0.15,0.0588235294117647,1.31735482641383,0.29700859375,0.726784684139978,0.0530292233794341,0.650300249592051,3.68e-05,5281842,84377.2112695679,0,0,0,0.01721420632104,0,-178.722869141421,438765557
0.15,0.0588235294117647,1.02769035908309,0.04705609375,0.947467448906548,0.0811167557785214,0.964089789947337,3.67999999999999e-05,5281842,534374.906191594,0,0,0,0.01721420632104,0,-180.393497536779,527235703
0.15,0.0588235294117647,1.2196561104134,0.04705609375,0.830766885563396,0.0641887840521948,0.843132722953556,3.67999999999999e-05,5281842,534374.797177414,0,0,0,0.01721420632104,0,-177.713247541536,603787281
0.15,0.0588235294117647,1.05592019154475,0.04705609375,0.938753550058426,0.0778003896729304,0.948347613009074,3.68e-05,5281842,534374.847304434,0,0,0,0.01721420632104,0,-180.214291733765,78306604
0.15,0.0588235294117647,1.22891313624117,0.04705609375,0.833214497296496,0.0639068534572225,0.832562850373468,3.68e-05,5281842,534377.335066612,0,0,0,0.01721420632104,0,-177.623716685812,959000492
0.15,0.0588235294117647,1.23824358597545,0.04705609375,2.83122773255047,0.290483185503385,0.973357901403041,3.68e-05,5281842,534375.011900631,0,0,0,0.01721420632104,0,-224.047738361223,763176720
