"Beta_0","gamma","phi","sigma_P","sigma_M","rho","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0,0.0588235294117647,1.12622612205413,0.60944921875,134.447447669632,0.0368036603027774,0.702029030394228,3.68e-05,5281842,346875.270763463,0,0,0,0.01721420632104,0,-423.157487128189,1012639350
0,0.0588235294117647,0.452579459434262,0.60944921875,134.498263302093,0.0498403016957376,0.730609306244265,3.68e-05,5281842,346874.819556772,0,0,0,0.01721420632104,0,-423.156541553852,131567640
0,0.0588235294117647,1.34371626510412,0.60944921875,134.56138738917,0.110035382170752,0.592424634332185,3.68e-05,5281842,346875.945746703,0,0,0,0.01721420632104,0,-423.15538908287,324674038
0,0.0588235294117647,0.751531761633809,0.60944921875,134.395687884438,0.0437452616619935,0.536335020290666,3.68e-05,5281842,346875.127025152,0,0,0,0.01721420632104,0,-423.15846664661,545207529
0,0.0588235294117647,0.681873593971584,0.60944921875,134.469489541513,0.0387738164992922,0.663867024296643,3.68e-05,5281842,346874.628926273,0,0,0,0.01721420632104,0,-423.157075019943,752895451
0,0.0588235294117647,2.62113142175478,0.10954421875,134.485525064611,0.0603134669991781,0.119852152261458,3.68e-05,5281842,46874.7386494302,0,0,0,0.01721420632104,0,-423.156777091879,390009425
0,0.0588235294117647,2.64098847683224,0.10954421875,134.653252086072,0.114742206582964,0.304136673713996,3.68e-05,5281842,46878.0632924877,0,0,0,0.01721420632104,0,-423.153755603129,301143392
0,0.0588235294117647,1.61695599202644,0.10954421875,134.534577778573,0.104672166656731,0.061808477298476,3.68e-05,5281842,46878.5008549209,0,0,0,0.01721420632104,0,-423.155875558574,389642962
0,0.0588235294117647,2.31461305752717,0.10954421875,134.531586771453,0.16411381220565,0.115280858478073,3.68000000000001e-05,5281842,46877.4583881539,0,0,0,0.01721420632104,0,-423.155930106063,415725155
0,0.0588235294117647,2.69362432162617,0.10954421875,134.082485935287,0.109821986420018,0.258145971458099,3.68e-05,5281842,46877.3411043578,0,0,0,0.01721420632104,0,-423.164748131435,632481452
0,0.0588235294117647,-0.198058038990889,0.35949671875,134.372361347282,0.0776227580752523,0.847793995881647,3.68e-05,5281842,496875.249928652,0,0,0,0.01721420632104,0,-423.158913495777,848490484
0,0.0588235294117647,0.436125883034083,0.35949671875,133.791728545719,0.128409039533719,0.933900973962031,3.68e-05,5281842,496875.964029357,0,0,0,0.01721420632104,0,-423.171128243055,239659974
0,0.0588235294117647,-0.0823262112781243,0.35949671875,133.814966374939,0.077980003899731,0.909862418675544,3.68e-05,5281842,496875.202905301,0,0,0,0.01721420632104,0,-423.170598768345,1045217456
0,0.0588235294117647,0.648942836300336,0.35949671875,135.071684733136,0.0878011552760596,0.867384679003189,3.68e-05,5281842,496875.361776965,0,0,0,0.01721420632104,0,-423.146966318982,228746940
0,0.0588235294117647,-0.102698261471545,0.35949671875,134.20553065005,0.110780667234802,0.875579986533911,3.68e-05,5281842,496874.899647656,0,0,0,0.01721420632104,0,-423.162207634845,192759809
0,0.0588235294117647,1.29737138807244,0.85940171875,134.466104705519,0.0131992707583426,0.554269897208165,3.68e-05,5281842,196876.49269325,0,0,0,0.01721420632104,0,-423.15713811022,796722517
0,0.0588235294117647,1.51769847529687,0.85940171875,134.781501574078,0.0110885068254997,0.403835557512072,3.68e-05,5281842,196876.187217402,0,0,0,0.01721420632104,0,-423.15156152644,807020114
0,0.0588235294117647,1.93463938103278,0.85940171875,134.129461456003,0.0052469194963185,0.433760250206539,3.67999999999999e-05,5281842,196875.423934536,0,0,0,0.01721420632104,0,-423.163767084185,512993180
0,0.0588235294117647,2.10304325647911,0.85940171875,134.716503697561,0.00406274034454295,0.503553954632687,3.68e-05,5281842,196876.27048893,0,0,0,0.01721420632104,0,-423.152660946887,532958559
0,0.0588235294117647,1.6271931174351,0.85940171875,134.529423041161,0.00792671410199568,0.334980598057033,3.68e-05,5281842,196875.102525891,0,0,0,0.01721420632104,0,-423.15596960066,62989004
0,0.0588235294117647,0.19437500789534,0.23452046875,134.610189874101,0.136907255244071,0.352924803893117,3.68e-05,5281842,421873.58567078,0,0,0,0.01721420632104,0,-423.15451486447,92031965
0,0.0588235294117647,1.09309443729594,0.23452046875,134.383772224415,0.0754057347194193,0.343319837695787,3.68e-05,5281842,421876.370439106,0,0,0,0.01721420632104,0,-423.158694485732,627611869
0,0.0588235294117647,0.480582157617544,0.23452046875,133.743151688768,0.0473764371207097,0.34190728277061,3.68e-05,5281842,421875.162507229,0,0,0,0.01721420632104,0,-423.172246093399,829130606
0,0.0588235294117647,0.623291008555951,0.23452046875,134.471217292728,0.116165575881669,0.211962703807641,3.68000000000001e-05,5281842,421876.403766759,0,0,0,0.01721420632104,0,-423.157042843449,543911802
