"","time","sim_data_S_over_N_median","sim_data_S_over_N_low_Q","sim_data_S_over_N_high_Q","combo_num"
"1",151,0.932237106570876,0.93197790752386,0.93250802336083,1
"2",181,0.920145698968058,0.919812029793876,0.920435845684125,1
"3",212,0.915659933657888,0.915288202301788,0.915941113581727,1
"4",243,0.913844522414961,0.913447708694189,0.914200966571219,1
"5",273,0.912864334994099,0.912451832667936,0.913220658259887,1
"6",304,0.911776294587584,0.911361091588127,0.912188798760502,1
"7",334,0.909628585657024,0.909101244421881,0.910174775647923,1
"8",365,0.901833323582385,0.900590773716303,0.903201522173958,1
"9",396,0.872689528564821,0.868237845044681,0.876851404593194,1
"10",424,0.815010132519645,0.805035147881278,0.824136111620852,1
"11",455,0.746235013555247,0.731772734873199,0.759980153100444,1
"12",485,0.710266161691814,0.694517216134314,0.725497850113072,1
"13",516,0.697856431975775,0.6821385630143,0.71321978534595,1
"14",546,0.694802866879153,0.67922032891872,0.710161327789181,1
"15",577,0.694232152643275,0.678700093602498,0.709538696416038,1
"16",608,0.694308672447533,0.678807801882267,0.709586562763021,1
"17",638,0.694525259511432,0.679056412466425,0.70979298464635,1
"18",669,0.694788920981307,0.679345937832017,0.710052985136054,1
"19",699,0.695026899812715,0.679622054688569,0.710297403570967,1
"20",730,0.695196731297194,0.679815005735149,0.710447551770563,1
"21",761,0.695135789611253,0.679815286808428,0.710370734931489,1
"22",790,0.694950571597752,0.679675998920873,0.710120297746197,1
"23",821,0.694877049611193,0.679623144434735,0.709933135432687,1
"24",851,0.695011016905436,0.679770758009226,0.709974457589535,1
"25",882,0.695281596599461,0.680062746624226,0.710220722716421,1
"26",912,0.695589101619752,0.68040075077654,0.710510826854553,1
"27",943,0.695934331255298,0.680762383153523,0.710843528306184,1
"28",974,0.69627942760744,0.681116582391109,0.711165892784569,1
"29",1004,0.696608977373727,0.681455625493904,0.711482207225454,1
"30",1035,0.696958260065993,0.681813754545941,0.711806583871155,1
"31",1065,0.697288547048572,0.682162415617303,0.712125901207679,1
"32",1096,0.69763047165046,0.682517086407643,0.712465632907038,1
"33",1127,0.697973618674631,0.68288431864422,0.712798466082222,1
"34",1155,0.698279274056852,0.683206025959897,0.713100871525812,1
"35",1186,0.698620022998168,0.683557187241899,0.713429333782577,1
"36",1216,0.698957691152979,0.683907583983863,0.713750016818369,1
"37",1247,0.699296015051709,0.684268774124082,0.714073331465956,1
"38",1277,0.699632528264047,0.684614056488547,0.714390958815762,1
"39",1308,0.699970398192312,0.684983297587041,0.714715585782068,1
"40",1339,0.700311923078742,0.685339248053124,0.715040328956428,1
"41",1369,0.700645669936368,0.685685070823188,0.715353313688734,1
"42",1400,0.700995394625734,0.686045090039838,0.715675526823584,1
"43",1430,0.701321510374537,0.686384984579222,0.715986404846519,1
"44",151,0.933343412445742,0.933060537171275,0.933579321126815,2
"45",181,0.92198431509114,0.921597436994761,0.922353813333698,2
"46",212,0.917875634569996,0.917438947414483,0.918262339230598,2
"47",243,0.916245361053894,0.915810321284516,0.916635121608697,2
"48",273,0.915336980102096,0.914878365659005,0.915743901316359,2
"49",304,0.914351962329238,0.913845215005111,0.914815520632243,2
"50",334,0.912334216317119,0.911634315709005,0.912913852421464,2
"51",365,0.90462258757453,0.903166282998805,0.905928769859839,2
"52",396,0.874920752355129,0.870361537193602,0.879369291264486,2
"53",424,0.815574213420069,0.805229699387233,0.825983060276507,2
"54",455,0.746009238809859,0.730707551191128,0.761640874585595,2
"55",485,0.71070495833415,0.694007002009279,0.72794612340982,2
"56",516,0.698817556570565,0.682054338747651,0.716318243886731,2
"57",546,0.696021648993715,0.679340449981378,0.713431108159568,2
"58",577,0.695541547267049,0.678925873178606,0.712897401240726,2
"59",608,0.695663461681974,0.679072759390639,0.712965878926886,2
"60",638,0.695902379777183,0.679326243899862,0.713180294181261,2
"61",669,0.6961844213925,0.679629436644474,0.713431608594208,2
"62",699,0.696460676997303,0.679903445803935,0.713644044032488,2
"63",730,0.696666947951327,0.680121630976174,0.713708651323949,2
"64",761,0.696599321041205,0.680191449210708,0.71343954912564,2
"65",790,0.696330566745746,0.680134175962498,0.712865972792464,2
"66",821,0.696188902159608,0.680148910905605,0.712341083935162,2
"67",851,0.696258374679741,0.680336093976294,0.712243491892386,2
"68",882,0.696508818208839,0.680641622960594,0.712422810733301,2
"69",912,0.696820804466209,0.680979926764476,0.712691749333095,2
