"sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.00019,0.0588235294117647,1.24851002644032,0.787037289227109,0.145414271629765,0.0586273382804172,0.795208396293965,3.68e-05,5281842,346876.13764981,0,0,0,0.01721420632104,0,-177.061727385556,901604882
0.00019,0.0588235294117647,1.18343619340487,0.610052979823386,0.0349249388676149,0.0705858234655388,0.710705907552247,3.68e-05,5281842,346877.128877272,0,0,0,0.01721420632104,0,-167.063739816712,475510005
0.00019,0.0588235294117647,1.11119987179293,0.773979839312497,0.0736752669586296,0.0707167399405755,0.885511164375743,3.68e-05,5281842,346873.35541913,0,0,0,0.01721420632104,0,-173.978336066694,928256336
0.00019,0.0588235294117647,1.08110245864324,0.854079030814558,0.100281070514884,0.0714622438841254,0.912736253571839,3.68e-05,5281842,346874.979268634,0,0,0,0.01721420632104,0,-176.781954646301,14447119
0.00019,0.0588235294117647,1.18463923265017,0.606366076994367,0.0332357806330333,0.0709228604505811,0.693940795490462,3.68e-05,5281842,346875.588648544,0,0,0,0.01721420632104,0,-167.079240191232,376933585
0.00019,0.0588235294117647,1.30069113318225,0.680764065872783,0.646188340355113,0.0525331188235212,0.744226584825163,3.68e-05,5281842,46874.8172345221,0,0,0,0.01721420632104,0,-174.834219242329,570421135
0.00019,0.0588235294117647,1.30239703854333,0.683715679445063,0.656443368455088,0.0523431661730091,0.737741536356913,3.68e-05,5281842,46875.2874906634,0,0,0,0.01721420632104,0,-174.894797654114,782211487
0.00019,0.0588235294117647,1.28667200619076,0.665452338086189,0.664672005870309,0.0523269222641015,0.747885037192672,3.68e-05,5281842,46876.5958994539,0,0,0,0.01721420632104,0,-174.992219696503,752748543
0.00019,0.0588235294117647,1.30535951471439,0.6745465629467,0.551627782914897,0.052620127292854,0.731021202679855,3.68e-05,5281842,46875.9749030597,0,0,0,0.01721420632104,0,-175.13723467245,475370441
0.00019,0.0588235294117647,1.30416269471638,0.67244155434198,0.596180443085901,0.0523814691259154,0.730327607079476,3.68e-05,5281842,46875.2704912561,0,0,0,0.01721420632104,0,-175.097365625015,632257203
0.00019,0.0588235294117647,1.19208206656241,0.661676454629939,0.0421933079780757,0.0747514157960058,0.739055775710751,3.68e-05,5281842,496874.770510708,0,0,0,0.01721420632104,0,-169.785918130093,1021033144
0.00019,0.0588235294117647,1.19210911196031,0.659332754954017,0.0423526942852958,0.0746801113556543,0.740610351726185,3.68e-05,5281842,496874.611031498,0,0,0,0.01721420632104,0,-169.765966189558,792164473
0.00019,0.0588235294117647,1.19295779545056,0.661329560242828,0.0423133540274725,0.074656494407372,0.740975421190323,3.68e-05,5281842,496874.621978816,0,0,0,0.01721420632104,0,-169.763907549552,113039403
0.00019,0.0588235294117647,1.19451176465567,0.660594498817794,0.0424372266908653,0.0746065752924008,0.739872599303376,3.68e-05,5281842,496875.73797398,0,0,0,0.01721420632104,0,-169.763602223457,455408713
0.00019,0.0588235294117647,1.13615231749352,0.936583138404791,0.286712641376686,0.0629222465353691,0.941586578866004,3.68e-05,5281842,496875.510740312,0,0,0,0.01721420632104,0,-181.600355529497,393458
0.00019,0.0588235294117647,1.12865961114129,0.62624322659099,0.0372147363388916,0.0681481738664693,0.722791728239579,3.68e-05,5281842,196877.863415021,0,0,0,0.01721420632104,0,-167.641932442751,498748260
0.00019,0.0588235294117647,1.15041326029151,0.603145981106179,0.0319886140180112,0.0680557825762782,0.684176406130897,3.67999999999999e-05,5281842,196874.939280948,0,0,0,0.01721420632104,0,-166.478000013177,134615254
0.00019,0.0588235294117647,1.0367942192921,0.881844517405894,0.0963458139943905,0.0696546363649864,0.905789553442878,3.67999999999999e-05,5281842,196876.269667071,0,0,0,0.01721420632104,0,-177.427013264939,18226990
0.00019,0.0588235294117647,1.15668001991961,0.587207941360527,0.0300394041766886,0.068086796827328,0.665677264473718,3.68e-05,5281842,196876.682081426,0,0,0,0.01721420632104,0,-166.105115445186,509796086
0.00019,0.0588235294117647,1.16210876145812,0.580365454016562,0.0268486630426814,0.0683385491937518,0.636061135055631,3.68e-05,5281842,196876.105393909,0,0,0,0.01721420632104,0,-165.920841785396,125203926
0.00019,0.0588235294117647,1.18680007659023,0.634376817152865,0.0375986781000171,0.0726941859802406,0.718900690767875,3.68e-05,5281842,421874.842249101,0,0,0,0.01721420632104,0,-168.357152149699,155312514
0.00019,0.0588235294117647,1.19254923146721,0.628640794052905,0.0375073815252555,0.0725701687213612,0.718334162046396,3.68e-05,5281842,421876.810039662,0,0,0,0.01721420632104,0,-168.338572533922,1010068184
